time	V(cap)	V(logic)	V(signal_in)	V(signal_out)
4.997181712079826e-005	4.786447e+000	0.000000e+000	2.551530e+000	4.785599e+000
4.997182312079827e-005	4.786447e+000	0.000000e+000	2.551528e+000	4.785599e+000
4.997184712079834e-005	4.786447e+000	0.000000e+000	2.551523e+000	4.785599e+000
4.997418326366198e-005	4.786440e+000	0.000000e+000	2.550999e+000	4.785592e+000
4.997651940652562e-005	4.786434e+000	0.000000e+000	2.550475e+000	4.785586e+000
4.997885554938926e-005	4.786427e+000	0.000000e+000	2.549951e+000	4.785579e+000
4.998119169225289e-005	4.786420e+000	0.000000e+000	2.549427e+000	4.785572e+000
4.998352783511653e-005	4.786414e+000	0.000000e+000	2.548903e+000	4.785565e+000
4.998586397798017e-005	4.786407e+000	0.000000e+000	2.548379e+000	4.785559e+000
4.998820012084381e-005	4.786400e+000	0.000000e+000	2.547855e+000	4.785552e+000
4.998820612084383e-005	4.786400e+000	0.000000e+000	2.547854e+000	4.785552e+000
4.998823012084389e-005	4.786400e+000	0.000000e+000	2.547848e+000	4.785552e+000
4.998932681786457e-005	4.786397e+000	0.000000e+000	2.547602e+000	4.785549e+000
4.999042351488525e-005	4.786394e+000	0.000000e+000	2.547356e+000	4.785545e+000
4.999152021190592e-005	4.786391e+000	0.000000e+000	2.547110e+000	4.785542e+000
4.999261690892660e-005	4.786388e+000	0.000000e+000	2.546864e+000	4.785539e+000
4.999371360594727e-005	4.786385e+000	0.000000e+000	2.546618e+000	4.785536e+000
4.999481030296795e-005	4.786382e+000	0.000000e+000	2.546372e+000	4.785533e+000
4.999590699998862e-005	4.786379e+000	0.000000e+000	2.546126e+000	4.785530e+000
4.999591099998863e-005	4.786379e+000	0.000000e+000	2.546125e+000	4.785530e+000
4.999593499998870e-005	4.786378e+000	0.000000e+000	2.546119e+000	4.785530e+000
4.999622314284664e-005	4.786378e+000	0.000000e+000	2.546055e+000	4.785529e+000
4.999651128570459e-005	4.786377e+000	0.000000e+000	2.545990e+000	4.785528e+000
4.999679942856253e-005	4.786376e+000	0.000000e+000	2.545925e+000	4.785527e+000
4.999708757142048e-005	4.786376e+000	0.000000e+000	2.545861e+000	4.785526e+000
4.999737571427842e-005	4.786375e+000	0.000000e+000	2.545796e+000	4.785526e+000
4.999766385713637e-005	4.786374e+000	0.000000e+000	2.545731e+000	4.785525e+000
4.999795199999431e-005	4.786373e+000	0.000000e+000	2.545667e+000	4.785524e+000
4.999795799999433e-005	4.786373e+000	0.000000e+000	2.545665e+000	4.785524e+000
4.999897599999716e-005	4.786370e+000	0.000000e+000	2.545437e+000	4.785521e+000
4.999898799999719e-005	4.786370e+000	0.000000e+000	2.545434e+000	4.785521e+000
4.999906057142596e-005	4.786370e+000	0.000000e+000	2.545418e+000	4.785520e+000
4.999913314285473e-005	4.786370e+000	0.000000e+000	2.545402e+000	4.785520e+000
4.999920571428351e-005	4.786369e+000	0.000000e+000	2.545385e+000	4.785520e+000
4.999927828571228e-005	4.786369e+000	0.000000e+000	2.545369e+000	4.785520e+000
4.999935085714106e-005	4.786369e+000	0.000000e+000	2.545353e+000	4.785520e+000
4.999942342856983e-005	4.786369e+000	0.000000e+000	2.545337e+000	4.785519e+000
4.999949599999860e-005	4.786368e+000	0.000000e+000	2.545320e+000	4.785519e+000
4.999990399999974e-005	4.786367e+000	0.000000e+000	2.545229e+000	4.785518e+000
4.999993699999983e-005	4.786367e+000	0.000000e+000	2.545221e+000	4.785518e+000
4.999994299999984e-005	4.786367e+000	0.000000e+000	2.545220e+000	4.785518e+000
4.999996799999991e-005	4.786367e+000	0.000000e+000	2.545214e+000	4.785518e+000
4.999997399999993e-005	4.786367e+000	0.000000e+000	2.545213e+000	4.785518e+000
4.999998399999996e-005	4.786367e+000	0.000000e+000	2.545211e+000	4.785518e+000
4.999998799999997e-005	4.786367e+000	0.000000e+000	2.545210e+000	4.785518e+000
4.999999199999998e-005	4.786367e+000	0.000000e+000	2.545209e+000	4.785518e+000
4.999999499999999e-005	4.786367e+000	0.000000e+000	2.545208e+000	4.785518e+000
4.999999599999999e-005	4.786367e+000	0.000000e+000	2.545208e+000	4.785518e+000
4.999999900000000e-005	4.786367e+000	0.000000e+000	2.545207e+000	4.785518e+000
5.000000000000000e-005	4.786367e+000	0.000000e+000	2.545207e+000	4.785518e+000
5.000000010000000e-005	4.786367e+000	1.000000e-001	2.545207e+000	4.785518e+000
5.000000030000000e-005	4.786366e+000	3.000000e-001	2.545207e+000	4.785512e+000
5.000000070000000e-005	4.786365e+000	7.000000e-001	2.545207e+000	4.785476e+000
5.000000100000001e-005	4.786363e+000	1.000000e+000	2.545207e+000	4.785431e+000
5.000000108000000e-005	4.786362e+000	1.000000e+000	2.545207e+000	4.785417e+000
5.000000124000000e-005	4.786360e+000	1.000000e+000	2.545207e+000	4.785388e+000
5.000000156000000e-005	4.786357e+000	1.000000e+000	2.545207e+000	4.785332e+000
5.000000220000000e-005	4.786351e+000	1.000000e+000	2.545207e+000	4.785219e+000
5.000000348000001e-005	4.786339e+000	1.000000e+000	2.545206e+000	4.784992e+000
5.000002140000006e-005	4.786171e+000	1.000000e+000	2.545202e+000	4.781825e+000
5.000076745714499e-005	4.779178e+000	1.000000e+000	2.545035e+000	4.654526e+000
5.000151351428993e-005	4.772208e+000	1.000000e+000	2.544867e+000	4.533392e+000
5.000225957143486e-005	4.765259e+000	1.000000e+000	2.544700e+000	4.418423e+000
5.000300562857979e-005	4.758333e+000	1.000000e+000	2.544532e+000	4.309620e+000
5.000375168572471e-005	4.751428e+000	1.000000e+000	2.544365e+000	4.206982e+000
5.000449774286965e-005	4.744545e+000	1.000000e+000	2.544197e+000	4.110509e+000
5.000524380001458e-005	4.737684e+000	1.000000e+000	2.544030e+000	4.020201e+000
5.001048668002916e-005	4.690011e+000	1.000000e+000	2.542853e+000	3.480399e+000
5.001848897770772e-005	4.618975e+000	1.000000e+000	2.541056e+000	2.908863e+000
5.002757313626534e-005	4.541277e+000	1.000000e+000	2.539016e+000	2.518188e+000
5.003704926099603e-005	4.465099e+000	1.000000e+000	2.536887e+000	2.324000e+000
5.004823512434390e-005	4.383562e+000	1.000000e+000	2.534373e+000	2.276682e+000
5.006193929856937e-005	4.295217e+000	1.000000e+000	2.531292e+000	2.350415e+000
5.007575365147528e-005	4.216236e+000	1.000000e+000	2.528185e+000	2.461311e+000
5.009155372260051e-005	4.133445e+000	1.000000e+000	2.524629e+000	2.545600e+000
5.011131500307717e-005	4.034697e+000	1.000000e+000	2.520180e+000	2.567015e+000
5.013438106124773e-005	3.923781e+000	1.000000e+000	2.514983e+000	2.537208e+000
5.015976641890577e-005	3.809132e+000	1.000000e+000	2.509260e+000	2.507255e+000
5.019198873590712e-005	3.677536e+000	1.000000e+000	2.501988e+000	2.498430e+000
5.023781560073674e-005	3.512585e+000	1.000000e+000	2.491633e+000	2.496171e+000
5.029042429196284e-005	3.353028e+000	1.000000e+000	2.479726e+000	2.484685e+000
5.039329144147783e-005	3.102773e+000	1.000000e+000	2.456390e+000	2.459596e+000
5.049460826107962e-005	2.920485e+000	1.000000e+000	2.433330e+000	2.437135e+000
5.068793130198724e-005	2.689453e+000	1.000000e+000	2.389129e+000	2.392668e+000
5.092230630198724e-005	2.509748e+000	1.000000e+000	2.335253e+000	2.338903e+000
5.115668130198724e-005	2.396484e+000	1.000000e+000	2.281044e+000	2.284691e+000
5.139105630198723e-005	2.316304e+000	1.000000e+000	2.226494e+000	2.230191e+000
5.162543130198723e-005	2.250433e+000	1.000000e+000	2.171612e+000	2.175325e+000
5.185980630198723e-005	2.190643e+000	1.000000e+000	2.116405e+000	2.120139e+000
5.209418130198722e-005	2.133341e+000	1.000000e+000	2.060881e+000	2.064648e+000
5.232855630198722e-005	2.076950e+000	1.000000e+000	2.005050e+000	2.008823e+000
5.303168130198721e-005	1.908151e+000	1.000000e+000	1.835793e+000	1.839645e+000
5.390221701627292e-005	1.695323e+000	1.000000e+000	1.621708e+000	1.625623e+000
5.477275273055862e-005	1.480130e+000	1.000000e+000	1.405409e+000	1.409379e+000
5.564328844484433e-005	1.262573e+000	1.000000e+000	1.186896e+000	1.190915e+000
5.651382415913003e-005	1.042652e+000	1.000000e+000	9.661686e-001	9.702289e-001
5.738435987341573e-005	8.203672e-001	1.000000e+000	7.432273e-001	7.473216e-001
5.825489558770144e-005	5.957178e-001	1.000000e+000	5.180720e-001	5.221929e-001
5.912543130198714e-005	3.687042e-001	1.000000e+000	2.907027e-001	2.948429e-001
6.053168130198712e-005	2.414746e-003	1.000000e+000	-7.579947e-002	-7.164922e-002
6.103391344484428e-005	-1.287321e-001	1.000000e+000	-2.069202e-001	-2.027717e-001
6.153614558770143e-005	-2.595670e-001	1.000000e+000	-3.376754e-001	-3.335316e-001
6.203837773055857e-005	-3.900898e-001	1.000000e+000	-4.680652e-001	-4.639289e-001
6.254060987341572e-005	-5.203005e-001	1.000000e+000	-5.980896e-001	-5.939635e-001
